input_row,transaction_id,is_exact_duplicate
1,TXN_0000796,False
2,TXN_0000974,False
3,TXN_0000795,False
4,TXN_0000695,False
5,TXN_0000588,False
6,TXN_0000011,False
7,TXN_0000849,False
8,TXN_0000714,False
9,TXN_0000515,False
10,TXN_0000299,False
11,TXN_0000208,False
12,TXN_0000062,False
13,TXN_0000198,False
14,TXN_0000708,False
15,TXN_0000535,False
16,TXN_0000790,False
17,TXN_0000360,False
18,TXN_0000625,False
19,TXN_0000705,False
20,TXN_0000225,False
21,TXN_0000440,False
22,TXN_0000305,False
23,TXN_0000394,False
24,TXN_0000328,False
25,TXN_0000609,False
26,TXN_0000910,False
27,TXN_0000806,False
28,TXN_0000549,False
29,TXN_0000464,False
30,TXN_0000570,False
31,TXN_0000256,False
32,TXN_0000042,False
33,TXN_0000541,False
34,TXN_0000419,False
35,TXN_0000427,False
36,TXN_0000197,False
37,TXN_0000181,False
38,TXN_0000266,False
39,TXN_0000776,False
40,TXN_0000013,False
41,TXN_0000957,False
42,TXN_0000143,False
43,TXN_0000704,False
44,TXN_0000640,False
45,TXN_0000108,False
46,TXN_0000087,False
47,TXN_0000494,False
48,TXN_0000358,False
49,TXN_0000271,False
50,TXN_0000509,False
51,TXN_0000170,False
52,TXN_0000757,False
53,TXN_0000772,False
54,TXN_0000108,True
55,TXN_0000015,False
56,TXN_0000422,False
57,TXN_0000878,False
58,TXN_0000297,False
59,TXN_0000039,False
60,TXN_0000574,False
61,TXN_0000311,False
62,TXN_0000200,False
63,TXN_0000748,False
64,TXN_0000528,False
65,TXN_0000633,False
66,TXN_0000881,False
67,TXN_0000088,False
68,TXN_0000323,False
69,TXN_0000613,False
70,TXN_0000459,False
71,TXN_0000282,False
72,TXN_0000399,False
73,TXN_0000173,False
74,TXN_0000452,False
75,TXN_0000468,False
76,TXN_0000573,False
77,TXN_0000915,False
78,TXN_0000285,False
79,TXN_0000381,False
80,TXN_0000120,False
81,TXN_0000109,False
82,TXN_0000006,False
83,TXN_0000610,False
84,TXN_0000252,False
85,TXN_0000846,False
86,TXN_0000968,False
87,TXN_0000845,False
88,TXN_0000937,False
89,TXN_0000532,False
90,TXN_0000136,False
91,TXN_0000103,False
92,TXN_0000858,False
93,TXN_0000985,False
94,TXN_0000871,False
95,TXN_0000895,False
96,TXN_0000353,False
97,TXN_0000418,False
98,TXN_0000837,False
99,TXN_0000007,False
100,TXN_0000713,False
101,TXN_0000759,False
102,TXN_0000839,False
103,TXN_0000829,False
104,TXN_0000258,False
105,TXN_0000437,False
106,TXN_0000003,False
107,TXN_0000820,False
108,TXN_0000821,False
109,TXN_0000269,False
110,TXN_0000455,False
111,TXN_0000665,False
112,TXN_0000736,False
113,TXN_0000099,False
114,TXN_0000603,False
115,TXN_0000619,False
116,TXN_0000680,False
117,TXN_0000205,False
118,TXN_0000546,False
119,TXN_0000390,False
120,TXN_0000114,False
121,TXN_0000204,False
122,TXN_0000340,False
123,TXN_0000040,False
124,TXN_0000685,False
125,TXN_0000186,False
126,TXN_0000901,False
127,TXN_0000462,False
128,TXN_0000752,False
129,TXN_0000755,False
130,TXN_0000946,False
131,TXN_0000382,False
132,TXN_0000700,False
133,TXN_0000953,False
134,TXN_0000439,False
135,TXN_0000570,True
136,TXN_0000908,False
137,TXN_0000254,False
138,TXN_0000367,False
139,TXN_0000076,False
140,TXN_0000349,False
141,TXN_0000239,False
142,TXN_0000317,False
143,TXN_0000192,False
144,TXN_0000963,False
145,TXN_0000270,False
146,TXN_0000243,False
147,TXN_0000872,False
148,TXN_0000602,False
149,TXN_0000401,False
150,TXN_0000750,False
151,TXN_0000387,False
152,TXN_0000417,False
153,TXN_0000543,False
154,TXN_0000655,False
155,TXN_0000979,False
156,TXN_0000931,False
157,TXN_0000842,False
158,TXN_0000579,False
159,TXN_0000233,False
160,TXN_0000202,False
161,TXN_0000545,False
162,TXN_0000177,False
163,TXN_0000373,False
164,TXN_0000889,False
165,TXN_0000279,False
166,TXN_0000182,False
167,TXN_0000064,False
168,TXN_0000707,False
169,TXN_0000501,False
170,TXN_0000060,False
171,TXN_0000830,False
172,TXN_0000546,True
173,TXN_0000324,False
174,TXN_0000310,False
175,TXN_0000069,False
176,TXN_0000670,False
177,TXN_0000723,False
178,TXN_0000304,False
179,TXN_0000246,False
180,TXN_0000010,False
181,TXN_0000122,False
182,TXN_0000576,False
183,TXN_0000947,False
184,TXN_0000222,False
185,TXN_0000161,False
186,TXN_0000926,False
187,TXN_0000383,False
188,TXN_0000793,False
189,TXN_0000559,False
190,TXN_0000786,False
191,TXN_0000560,False
192,TXN_0000934,False
193,TXN_0000137,False
194,TXN_0000051,False
195,TXN_0000453,False
196,TXN_0000375,False
197,TXN_0000138,False
198,TXN_0000971,False
199,TXN_0000167,False
200,TXN_0000196,False
201,TXN_0000794,False
202,TXN_0000653,False
203,TXN_0000179,False
204,TXN_0000395,False
205,TXN_0000879,False
206,TXN_0000791,False
207,TXN_0000111,False
208,TXN_0000212,False
209,TXN_0000980,False
210,TXN_0000669,False
211,TXN_0000047,False
212,TXN_0000346,False
213,TXN_0000958,False
214,TXN_0000738,False
215,TXN_0000679,False
216,TXN_0000081,False
217,TXN_0000697,False
218,TXN_0000296,False
219,TXN_0000127,False
220,TXN_0000650,False
221,TXN_0000028,False
222,TXN_0000500,False
223,TXN_0000678,False
224,TXN_0000217,False
225,TXN_0000476,False
226,TXN_0000308,False
227,TXN_0000614,False
228,TXN_0000641,False
229,TXN_0000352,False
230,TXN_0000366,False
231,TXN_0000447,False
232,TXN_0000877,False
233,TXN_0000499,False
234,TXN_0000438,False
235,TXN_0000565,False
236,TXN_0000164,False
237,TXN_0000443,False
238,TXN_0000445,False
239,TXN_0000107,False
240,TXN_0000986,False
241,TXN_0000503,False
242,TXN_0000623,False
243,TXN_0000223,False
244,TXN_0000701,False
245,TXN_0000885,False
246,TXN_0000110,False
247,TXN_0000702,False
248,TXN_0000398,False
249,TXN_0000769,False
250,TXN_0000800,False
251,TXN_0000288,False
252,TXN_0000978,False
253,TXN_0000534,False
254,TXN_0000105,False
255,TXN_0000754,False
256,TXN_0000505,False
257,TXN_0000804,False
258,TXN_0000054,False
259,TXN_0000320,False
260,TXN_0000539,False
261,TXN_0000365,False
262,TXN_0000919,False
263,TXN_0000566,False
264,TXN_0000130,False
265,TXN_0000569,False
266,TXN_0000913,False
267,TXN_0000396,False
268,TXN_0000930,False
269,TXN_0000293,False
270,TXN_0000618,False
271,TXN_0000248,False
272,TXN_0000735,False
273,TXN_0000844,False
274,TXN_0000037,False
275,TXN_0000542,False
276,TXN_0000922,False
277,TXN_0000376,False
278,TXN_0000463,False
279,TXN_0000893,False
280,TXN_0000831,False
281,TXN_0000469,False
282,TXN_0000202,True
283,TXN_0000073,False
284,TXN_0000153,False
285,TXN_0000980,True
286,TXN_0000744,False
287,TXN_0000815,False
288,TXN_0000938,False
289,TXN_0000595,False
290,TXN_0000814,False
291,TXN_0000792,False
292,TXN_0000540,False
293,TXN_0000038,False
294,TXN_0000944,False
295,TXN_0000050,False
296,TXN_0000761,False
297,TXN_0000917,False
298,TXN_0000567,False
299,TXN_0000224,False
300,TXN_0000404,False
301,TXN_0000720,False
302,TXN_0000408,False
303,TXN_0000693,False
304,TXN_0000876,False
